,num_actions,action_cost,r,agent,utility
10,20,25,0.5,Optimal,72.95446145301376
11,20,25,0.5,Dynamic,63.654870046738104
0,20,25,0.7,1,47.39813807786297
1,20,25,0.7,2,63.19344424173587
2,20,25,0.7,3,64.40748520523795
3,20,25,0.7,4,65.07813640956107
4,20,25,0.7,5,64.58383264671924
5,20,25,0.7,7,62.278425694496946
6,20,25,0.7,9,59.06770021637638
7,20,25,0.7,12,53.898843235352395
8,20,25,0.7,15,48.63696786257863
9,20,25,0.7,20,39.32056780625751
10,20,25,0.7,Optimal,70.93900211509415
11,20,25,0.7,Dynamic,65.24125339053826
0,20,25,0.8,1,56.96576013170384
1,20,25,0.8,2,64.4663605080708
2,20,25,0.8,3,65.82796070246462
3,20,25,0.8,4,65.68456962966619
4,20,25,0.8,5,64.71402995368881
5,20,25,0.8,7,61.53414668346353
6,20,25,0.8,9,58.41469715551587
7,20,25,0.8,12,52.98782359752593
8,20,25,0.8,15,47.50632460467843
9,20,25,0.8,20,38.370492949932576
10,20,25,0.8,Optimal,70.98882598752103
11,20,25,0.8,Dynamic,66.31411046979453
0,20,25,0.85,1,66.60945590190695
1,20,25,0.85,2,71.1267873354609
2,20,25,0.85,3,70.97836292818307
3,20,25,0.85,4,69.46436360473979
4,20,25,0.85,5,68.0115026005697
5,20,25,0.85,7,64.55426934640947
6,20,25,0.85,9,61.15791923553198
7,20,25,0.85,12,55.42436430720085
8,20,25,0.85,15,49.69080937886974
9,20,25,0.85,20,40.13488449831786
10,20,25,0.85,Optimal,74.69275196283034
11,20,25,0.85,Dynamic,71.31461450612326
0,20,25,0.9,1,59.46298533733599
1,20,25,0.9,2,64.1444093812542
2,20,25,0.9,3,64.41079239863356
3,20,25,0.9,4,63.29781141647654
4,20,25,0.9,5,61.796979964711774
5,20,25,0.9,7,58.46894068020079
6,20,25,0.9,9,55.118942817350536
7,20,25,0.9,12,49.951541928223925
8,20,25,0.9,15,44.784141039097314
9,20,25,0.9,20,36.171806223886286
10,20,25,0.9,Optimal,67.5207850999454
11,20,25,0.9,Dynamic,64.83768709150492
0,20,25,0.95,1,70.9662077333801
1,20,25,0.95,2,71.93741558961212
2,20,25,0.95,3,71.3248789195538
3,20,25,0.95,4,69.44790842167079
4,20,25,0.95,5,67.67765947210145
5,20,25,0.95,7,63.917789501429134
6,20,25,0.95,9,60.15791953075684
7,20,25,0.95,12,54.518114574748395
8,20,25,0.95,15,48.87830961873994
9,20,25,0.95,20,39.47863469205919
10,20,25,0.95,Optimal,74.46085123293113
11,20,25,0.95,Dynamic,72.81493318930701
0,20,25,1.0,1,74.22020274895527
1,20,25,1.0,2,72.36469768023139
2,20,25,1.0,3,70.5091926115075
3,20,25,1.0,4,68.65368754278363
4,20,25,1.0,5,66.79818247405974
5,20,25,1.0,7,63.087172336611985
6,20,25,1.0,9,59.37616219916422
7,20,25,1.0,12,53.80964699299258
8,20,25,1.0,15,48.243131786820925
9,20,25,1.0,20,38.965606443201516
10,20,25,1.0,Optimal,74.22020274895527
11,20,25,1.0,Dynamic,74.22020274895527
0,20,50,0.25,1,7.1793312702845515
1,20,50,0.25,2,18.059358477857945
2,20,50,0.25,3,21.404112085187535
